iter	Passed	Remaining
0	155	155337
1	157	78492
2	158	52732
3	160	39981
4	162	32246
5	163	27039
6	164	23336
7	165	20548
8	167	18406
9	168	16691
10	170	15353
11	172	14172
12	173	13183
13	175	12333
14	176	11601
15	177	10944
16	179	10372
17	180	9862
18	182	9400
19	184	9023
20	185	8656
21	187	8315
22	188	7998
23	189	7720
24	190	7448
25	192	7202
26	193	6966
27	194	6747
28	195	6544
29	196	6355
30	198	6199
31	199	6046
32	201	5898
33	202	5754
34	203	5614
35	204	5481
36	205	5356
37	206	5238
38	207	5124
39	209	5016
40	210	4914
41	211	4817
42	213	4749
43	214	4660
44	215	4573
45	216	4489
46	217	4409
47	218	4336
48	219	4263
49	220	4193
50	221	4126
51	222	4064
52	224	4002
53	225	3945
54	227	3903
55	228	3856
56	230	3805
57	231	3758
58	232	3710
59	233	3660
60	234	3614
61	236	3570
62	237	3525
63	238	3481
64	239	3438
65	240	3399
66	242	3372
67	243	3333
68	244	3296
69	245	3258
70	246	3222
71	247	3187
72	248	3152
73	249	3119
74	250	3087
75	251	3054
76	252	3023
77	253	2995
78	254	2967
79	256	2946
80	257	2922
81	258	2895
82	259	2863
83	260	2836
84	261	2811
85	262	2787
86	263	2763
87	264	2739
88	265	2716
89	266	2693
90	267	2669
91	268	2649
92	269	2628
93	271	2615
94	272	2595
95	273	2578
96	274	2558
97	275	2539
98	276	2520
99	277	2500
100	278	2482
101	279	2464
102	280	2445
103	281	2429
104	283	2412
105	284	2397
106	286	2389
107	287	2373
108	288	2360
109	289	2345
110	290	2329
111	291	2313
112	292	2297
113	293	2282
114	294	2267
115	295	2253
116	296	2237
117	297	2224
118	298	2212
119	300	2204
120	301	2191
121	302	2177
122	303	2164
123	304	2151
124	305	2138
125	306	2127
126	307	2114
127	308	2102
128	310	2094
129	312	2089
130	313	2080
131	316	2078
132	317	2069
133	318	2058
134	319	2049
135	320	2039
136	322	2030
137	323	2021
138	324	2012
139	326	2003
140	327	1994
141	328	1982
142	329	1976
143	331	1969
144	332	1960
145	333	1952
146	335	1944
147	336	1935
148	337	1927
149	338	1919
150	339	1910
151	340	1902
152	342	1894
153	343	1887
154	345	1883
155	346	1875
156	347	1868
157	348	1859
158	350	1853
159	351	1844
160	352	1835
161	353	1827
162	354	1820
163	355	1812
164	356	1805
165	358	1799
166	359	1795
167	361	1788
168	362	1780
169	363	1774
170	364	1767
171	365	1761
172	367	1755
173	368	1750
174	369	1743
175	371	1737
176	372	1732
177	375	1735
178	378	1734
179	380	1731
180	381	1725
181	382	1719
182	383	1712
183	384	1706
184	385	1699
185	386	1693
186	389	1692
187	390	1687
188	391	1681
189	392	1675
190	394	1668
191	395	1663
192	396	1657
193	397	1650
194	398	1644
195	399	1637
196	400	1631
197	401	1625
198	402	1619
199	405	1620
200	406	1615
201	407	1610
202	408	1604
203	409	1598
204	410	1592
205	411	1586
206	412	1581
207	414	1576
208	415	1570
209	415	1564
210	416	1558
211	418	1555
212	420	1551
213	421	1546
214	422	1542
215	423	1538
216	424	1532
217	425	1527
218	426	1521
219	427	1516
220	428	1510
221	429	1505
222	430	1501
223	431	1495
224	433	1493
225	435	1490
226	436	1485
227	437	1480
228	438	1475
229	439	1471
230	440	1467
231	441	1462
232	442	1457
233	443	1451
234	444	1447
235	445	1442
236	446	1437
237	448	1435
238	449	1431
239	450	1426
240	451	1421
241	452	1417
242	453	1412
243	454	1407
244	455	1403
245	456	1398
246	457	1394
247	458	1390
248	459	1385
249	460	1381
250	461	1377
251	463	1374
252	464	1371
253	465	1367
254	466	1363
255	467	1358
256	468	1354
257	469	1350
258	470	1345
259	471	1341
260	472	1337
261	473	1333
262	474	1329
263	475	1326
264	476	1322
265	479	1321
266	480	1318
267	481	1314
268	482	1310
269	483	1306
270	484	1303
271	485	1299
272	486	1295
273	487	1291
274	488	1287
275	489	1284
276	490	1280
277	491	1276
278	493	1275
279	494	1272
280	496	1269
281	497	1266
282	498	1262
283	499	1258
284	500	1255
285	501	1251
286	502	1249
287	504	1246
288	505	1243
289	506	1239
290	508	1238
291	509	1235
292	510	1232
293	511	1229
294	512	1225
295	513	1222
296	514	1218
297	515	1215
298	517	1212
299	518	1209
300	519	1206
301	520	1202
302	521	1199
303	523	1198
304	524	1195
305	525	1191
306	526	1188
307	527	1185
308	528	1182
309	529	1179
310	530	1175
311	531	1172
312	532	1169
313	533	1165
314	534	1162
315	535	1159
316	537	1158
317	538	1155
318	539	1152
319	540	1148
320	541	1145
321	542	1142
322	543	1139
323	544	1137
324	546	1134
325	547	1131
326	548	1128
327	549	1125
328	550	1123
329	551	1120
330	552	1117
331	553	1114
332	554	1111
333	555	1108
334	556	1105
335	557	1102
336	558	1099
337	559	1096
338	560	1093
339	561	1090
340	562	1087
341	564	1085
342	565	1083
343	567	1081
344	568	1079
345	569	1076
346	571	1074
347	572	1071
348	573	1069
349	574	1066
350	575	1063
351	576	1061
352	577	1058
353	578	1055
354	580	1054
355	581	1052
356	582	1049
357	583	1046
358	584	1044
359	585	1041
360	586	1038
361	587	1036
362	589	1033
363	590	1030
364	590	1028
365	591	1025
366	592	1022
367	594	1021
368	596	1019
369	597	1016
370	598	1014
371	599	1012
372	600	1009
373	601	1007
374	602	1004
375	603	1001
376	604	999
377	605	996
378	606	994
379	607	991
380	609	990
381	610	988
382	612	985
383	613	983
384	614	981
385	615	979
386	616	977
387	618	975
388	619	972
389	620	970
390	621	967
391	622	965
392	623	962
393	625	961
394	626	959
395	627	956
396	628	954
397	629	952
398	630	949
399	631	947
400	632	944
401	633	942
402	634	940
403	635	937
404	636	935
405	637	932
406	639	931
407	640	929
408	641	927
409	642	924
410	643	922
411	644	920
412	645	917
413	646	915
414	647	912
415	648	910
416	649	908
417	650	905
418	651	903
419	652	901
420	654	899
421	655	897
422	656	895
423	657	893
424	658	890
425	659	888
426	660	886
427	661	884
428	662	882
429	663	879
430	664	877
431	665	875
432	666	872
433	668	871
434	669	869
435	670	867
436	671	865
437	672	863
438	674	861
439	674	859
440	675	856
441	677	854
442	678	852
443	679	850
444	680	848
445	681	846
446	683	845
447	684	843
448	685	841
449	686	839
450	687	837
451	688	835
452	689	833
453	690	830
454	691	828
455	692	826
456	693	824
457	694	822
458	695	820
459	697	818
460	699	817
461	700	815
462	701	813
463	703	812
464	704	810
465	705	808
466	706	806
467	707	803
468	708	801
469	709	799
470	710	797
471	711	795
472	713	794
473	714	793
474	715	790
475	716	788
476	717	786
477	718	784
478	719	782
479	721	781
480	722	779
481	723	777
482	724	775
483	725	773
484	727	772
485	730	772
486	732	771
487	733	770
488	734	767
489	735	765
490	736	763
491	737	761
492	739	760
493	740	758
494	741	756
495	743	755
496	744	753
497	745	751
498	746	749
499	747	747
500	748	745
501	749	743
502	750	741
503	751	739
504	752	737
505	753	735
506	754	733
507	755	731
508	757	731
509	759	729
510	760	727
511	761	725
512	762	723
513	763	721
514	764	720
515	765	718
516	766	716
